Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,10k,R_1206_3216Metric,42.04,-124.46,0,bottom
R2,10k,R_1206_3216Metric,42.04,-127,0,bottom
R3,10k,R_1206_3216Metric,42.04,-129.54,0,bottom
R4,10k,R_1206_3216Metric,42.04,-132.08,0,bottom
R5,10k,R_1206_3216Metric,42.04,-134.62,0,bottom
R6,10k,R_1206_3216Metric,42.04,-137.16,0,bottom
R7,10k,R_1206_3216Metric,42.04,-139.7,0,bottom
R8,10k,R_1206_3216Metric,42.04,-142.24,0,bottom
R9,47k,R_1206_3216Metric,42.04,-101.6,0,bottom
R10,47k,R_1206_3216Metric,42.04,-104.14,0,bottom
R11,47k,R_1206_3216Metric,42.04,-106.68,0,bottom
R12,47k,R_1206_3216Metric,42.04,-109.22,0,bottom
R13,47k,R_1206_3216Metric,42.04,-111.76,0,bottom
R14,47k,R_1206_3216Metric,42.04,-114.3,0,bottom
R15,47k,R_1206_3216Metric,42.04,-116.84,0,bottom
R16,47k,R_1206_3216Metric,42.04,-119.38,0,bottom
R17,220,R_1206_3216Metric,39.4,-97,180,bottom
R18,220,R_1206_3216Metric,46.4,-97,180,bottom
R19,220,R_1206_3216Metric,53.4,-97,180,bottom
R20,220,R_1206_3216Metric,60.4,-97,180,bottom
U1,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,51,-134,90,bottom
U2,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,51,-110,90,bottom
U3,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,43,-86,270,bottom
U4,4051,SOIC-16_3.9x9.9mm_P1.27mm,57,-86,270,bottom
