Comment,Designator,Footprint,LCSC
LED,"D1,D2,D3,D4",LED_THT:LED_D5.0mm,
MountingHole,"H1,H2",MountingHole:MountingHole_3.2mm_M3,
Conn_01x08_Female,"J1,J3",Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,
Conn_02x10_Odd_Even,J2,Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical,
10k,"R1,R2,R3,R4,R5,R6,R7,R8",Resistor_SMD:R_1206_3216Metric,C17902
220,"R17,R18,R19,R20",Resistor_SMD:R_1206_3216Metric,C17957
47k,"R9,R10,R11,R12,R13,R14,R15,R16",Resistor_SMD:R_1206_3216Metric,C25833
R_POT,"RV1,RV2,RV3,RV4",Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,
74HC595,"U1,U3",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5947
74HC165,U2,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5613
4051,U4,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C21379
